Region,Sub-region,Country,Date Completed,1. At the woman's request,1a. To save a woman’s life,1b. To preserve a woman’s health,1c. To preserve a woman’s physical health,1d. To preserve a woman’s mental health,1e. In cases of intellectual or cognitive disability of the woman,1f. In cases of incest,1g. In cases of rape,1h. In cases of foetal impairment,1i. For economic or social reasons,1k. Other (please specify),2a. Gestational limit applies,2b. Authorization of health-care professional(s) required,2c. Parental consent required for minors,2d. Judicial authorization required for minors,2e. Husband’s consent required for married women,2f. Authorized in specially licensed facilities only,2g. Compulsory counselling,2h. Woman required to view ultrasound images and/or listen to foetal heartbeat,2i. Compulsory waiting period,2j. HIV test required,2k. Other STI test(s) required,2l. Police report required in case of rape,2m. Judicial authorization required in case of rape,2n. Prohibition of sex-selective abortion,2o. Other,8. Who can be criminally charged for an illegal abortion?
Asia,Western Asia,Cyprus,2022-11-28,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Yes,Yes,Yes,Not Specified,"Sexual abuse of an adult, a minor or a woman with a mental illness or disability.     ",Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Eastern Asia,Democratic People’s Republic of Korea,2017-05-07,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Asia,Western Asia,Georgia,2023-12-15,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,"The woman is below the age of 15 years or over the age of 49 years. Additionally, the Rules for the implementation of abortion state that abortion can be accessed between 12 and 22 weeks of gestation for medical and social indications. The 2023 amendments provide an updated list of conditions which fall under the medical indication. These include a range of physical disorders, mental disorders (section V) and congenital malformations, deformations and chromosomal abnormalities (section XIV).",Yes,No,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Provider
Asia,South-Eastern Asia,India,2023-12-07,No,Yes,No,Yes,Yes,No,No,No,Yes,No,"The following categories of women shall be considered eligible for termination of pregnancy under clause (b) of sub- section (2) Section 3 of the Act, for a period of up to twenty-four weeks, namely:-
(a) survivors of sexual assault or rape or incest;
(b) minors;
(c) change of marital status during the ongoing pregnancy (widowhood and divorce);
(d) women with physical disabilities [major disability as per criteria laid down under the Rights of Persons with Disabilities Act, 2016 (49 of 2016)];
(e) mentally ill women, including mental retardation;
(f) the foetal malformation that has substantial risk of being incompatible with life or if the child is born it may suffer from such physical or mental abnormalities to be seriously handicapped; and
(g) women with pregnancy in humanitarian settings or disaster or emergency situations as may be declared by the Government.

The anguish caused by the unwanted pregnancy in the following situations is presumed to cause grave injury to the mental health of the pregnant woman where there has been failure of any device or method used by a married woman or her husband for the purpose of limiting the number of children.",Yes,Yes,Yes,Not Specified,No,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,No,No,Yes,"The Rights of Persons with Disabilities Act specifies that pregnancy termination cannot be performed on a woman with a disability without her express consent, except in cases where medical procedure for termination of pregnancy is done in severe cases of disability and with the opinion of a registered medical practitioner and also with the consent of the guardian of the woman with disability. However, the 2022 Training for Early Medical Abortion indicates that for mentally ill women, the consent of the guardian should be taken. ","Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Indonesia,2023-12-18,No,Yes,No,No,No,No,No,Yes,Yes,No,Not Specified,Yes,Yes,Not Specified,Not Specified,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Iran,2017-05-07,No,Yes,No,No,No,No,No,No,Yes,No,     ,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Verification by the Forensic Examiner of foetal illness,"Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Iraq,2022-07-13,No,No,Yes,No,No,No,No,No,No,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Israel,2022-08-02,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"The woman is under the age of marriage (17 years old) or older than 40 years. 

The pregnancy is the result of extramarital relations.

To prevent grave irreparable injury to the woman.

The pregnancy was interrupted in the course of other medical treatment of the woman's body and , the pregnancy was not previously known to the physician and its interruption was necessary for that medical treatment.
",Not Specified,Yes,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Asia,Eastern Asia,Japan,2023-12-07,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,     ,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Jordan,2017-05-07,No,Yes,Yes,No,No,No,No,No,No,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Kazakhstan,2023-01-06,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,No,Yes,Not Specified,Not Specified,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Asia,Western Asia,Kuwait,2017-05-07,No,Yes,Yes,No,No,No,No,No,Yes,No,     ,Yes,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Kyrgyzstan,2023-12-15,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"Medical Indications  
Social Indications: the presence of disability I-II group from his wife and / or her husband; death of the husband during the wife's pregnancy; detention in prison of the woman or her husband; presence of court decision on deprivation or restriction of parental rights; woman’s or husband’s official status as unemployed; woman’s official status as a refugee or forced migrant; divorce during pregnancy; pregnancy as a result of rape; large family (five or more children); presence of a disabled child in the family; material insecurity (income per family member is less than the official living wage); the pregnant woman’s age is below 18 years.",Yes,No,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Lao People's Democratic Republic,2021-11-10,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,"Contraceptive failure 
Additional ""considering"" indications include if for example, woman has many children (more than 4 children), poor woman and gestational age is not more than 12 weeks.",Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Lebanon,2024-03-18,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Malaysia,2023-12-07,No,Yes,No,Yes,Yes,No,No,No,No,No,     ,Yes,Yes,Yes,Not Specified,No,Not Specified,No,No,Yes,No,No,Not Specified,Not Specified,Not Specified,Consent for cognitively impaired women may be obtained from parent/guardian or doctors caring for her,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Maldives,2022-11-14,No,Yes,No,No,No,No,Yes,Yes,No,No,Sexual assault,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Eastern Asia,Mongolia,2018-11-14,Yes,Yes,Yes,Yes,Not Specified,Yes,Yes,Yes,Yes,Not Specified,"If the woman is over the age of 40,  and she so wishes",Yes,Yes,Yes,Not Specified,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Asia,South-Eastern Asia,Myanmar,2023-12-18,No,Yes,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Nepal,2022-07-13,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Woman with human immune- deficiency virus (HIV) or other incurable disease.,Yes,Yes,Yes,Not Specified,No,Yes,No,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Oman,2022-07-13,No,Not Specified,No,No,No,No,No,No,Not Specified,No,Abortion is permitted if the pregnancy causes the woman severe discomfort that she is unable to bear.,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"For any surgical procedure, it is necessary to obtain the written consent of the patient, his spouse, or one of his relatives up to the second degree, if he is incompetent, disputes it, or it is not possible to obtain his consent.","Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Pakistan,2023-12-18,No,Yes,No,No,No,No,No,No,No,No,For the purpose of providing necessary treatment to the woman,Not Specified,Restriction Varies By Jurisdiction,Not Specified,Not Specified,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Philippines,2022-12-22,No,No,No,No,No,No,No,No,No,No,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Qatar,2022-07-13,No,Yes,Yes,No,No,No,No,No,Yes,No,     ,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider"
Asia,Eastern Asia,Republic of Korea,2022-12-22,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,"Where the woman's spouse suffers from any eugenic or genetic mental disability, physical disease or contagious disease prescribed by Presidential Decree. Where the maintenance of pregnancy severely injures or might injure the health of the pregnant
woman for health or medical reasons.",Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider"
Asia,Western Asia,Saudi Arabia,2022-11-28,No,Yes,Yes,No,No,No,No,No,No,No,"A legitimate reason that does not include harm of hardship from raising a child or fear of being unable to pay for living expenses or education or the couple's feeling that they already have enough children,  The mother may suffer serious anticipated and verified harm if she continues the pregnancy.",Yes,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Asia,South-Eastern Asia,Singapore,2022-12-22,Yes,Yes,No,Yes,Yes,No,No,No,No,No,     ,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Citizenship/Residency Requirements - To be eligible to receive an abortion in Singapore, women must be: 
1. Citizens of Singapore, or a wife of a citizen of Singapore 
2. A holder, or the wife of a holder, of a work pass issued under the Employment of Foreign Manpower Act 
3. A resident in Singapore for a period of at least 4 months immediately preceding the date on which such treatment is to be carried out 
4.Persons in exceptional circumstances, where an abortion is necessary to save the life of the pregnant woman.

Referral of unmarried girls below 16 years of age for pre-abortion counselling at the Institute of Health Counselling Centre (IOH) where a certificate of Attendance (COA) will be issued which the girl needs to produce in order to access an abortion","Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Sri Lanka,2022-11-14,No,Yes,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Syrian Arab Republic,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,     ,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Tajikistan,2018-11-14,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Health reasons. Social reasons ,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Thailand,2023-12-07,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Between 12 weeks and 20 weeks, an examination and alternative counselling from medical practitioners is required. These should be in line with the rules and procedures prescribed by the Minister of Public Health, and instructions of the Medical Council and related agencies as required by the law on the prevention and resolution of pregnancy problems in adolescence.","Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Timor Leste,2018-11-14,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Serious and irreversible harm to the body,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider"
Asia,Western Asia,Türkiye,2023-12-15,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Listed diseases and conditions,Yes,No,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Turkmenistan,2023-12-15,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Asia,Western Asia,United Arab Emirates,2017-05-07,No,Yes,No,No,No,No,No,No,Yes,No,     ,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Uzbekistan,2023-12-15,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Medical contraindications for pregnancy,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Asia,South-Eastern Asia,Vietnam,2022-12-22,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Provider
Asia,Western Asia,Yemen,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,     ,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider"
Europe,Southern Europe,Albania,2023-12-15,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,     ,Yes,No,Yes,Not Specified,No,Not Specified,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Andorra,2017-05-07,No,No,No,No,No,No,No,No,No,No,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Austria,2022-11-28,No,Yes,No,Yes,Yes,No,No,No,Yes,No,If the girl was below the age of 14 when getting pregnant.,Yes,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider"
Europe,Eastern Europe,Belarus,2022-11-28,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,     ,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Provider
Europe,Western Europe,Belgium,2023-12-15,Yes,No,Yes,No,No,No,No,No,Yes,No,When it is certain that the unborn child will be suffering from an affection of a particular gravity and recognized as incurable at the time of the diagnosis,Yes,No,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider"
Europe,Southern Europe,Bosnia and Herzegovina,2022-11-28,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Not Specified,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,Restriction Varies By Jurisdiction,     ,Not Specified
Europe,Southern Europe,Federation of Bosnia and Herzegovina,2022-11-28,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Republika Srpska,2022-11-28,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,"Pregnancy as a result of a criminal offense, or psychosocial indications",Yes,Yes,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Eastern Europe,Bulgaria,2023-12-15,Yes,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"When pregnancy results from an act of violence, proven by the competent authorities. Additionally, the law states: A medical indication of abortion shall be made under Request of a pregnant woman in the presence of a disease, Undeniably proven and documented, in which the further course of pregnancy or confinement may endanger the life or health of the woman or the viability of the offspring listed in Annex 2 and during a pregnancy of no more than 20 gestational weeks.",Yes,No,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Europe,Southern Europe,Croatia,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Not Specified,Not Specified,Yes,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"In case of a minor older than 16 years and not yet married, if the abortion may cause serious consequences or the gestational age is more than 10 weeks, a special commission is required to make the decision and inform the parents.","Provider, Person who helps a woman obtain abortion"
Europe,Eastern Europe,Czech Republic,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Not Specified,"Below 15 years old
Above  40 years old
Intrauterine contraceptive failure",Yes,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Except in certain circumstances, a woman may not have an abortion if she has had one in the last six months.

A physician may deny a woman access to an abortion if the physician believes it is against her health interest.

Women are required to pay for abortions on request.

Abortions on women only temporarily staying in Czech Republic are restricted. Reimbursement for artificial termination of pregnancy for foreign women is governed by a special regulation. ",Person who helps a woman obtain abortion
Europe,Northern Europe,Denmark,2022-07-28,Yes,Yes,Not Specified,Yes,Yes,Not Specified,Yes,Yes,Yes,Yes,"Young age or immaturity resulting in inability to care for the child in a proper way.
List of sexual offences in the penal code.
Fetal reduction.",Yes,No,Yes,Not Specified,No,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Estonia,2022-06-30,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"Below the age of 15
Above the age of 45
The illness or health problem related to the pregnancy prevents the upbringing of the child.",Yes,No,Not Specified,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Finland,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Yes,Yes,"The individual is below 17 years of age, or greater than 40 years of age; the woman already has four children; or the illness of one or both parents or another comparable reason seriously limits their ability to take care of the child. ",Yes,No,No,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,No,No,Yes,Not Specified,Not Specified,Not Specified,"Woman, Provider"
Europe,Western Europe,France,2023-12-15,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"Foetal reduction can be carried out when the multiple nature of the pregnancy seriously endangers the health of the woman, the fetuses or the embryos.",Yes,No,No,No,Not Specified,No,No,Not Specified,No,No,No,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Germany,2023-12-15,No,Yes,No,Yes,Yes,No,No,Yes,No,No,"Sexual abuse of persons unable to resist, sexual abuse of children",Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Greece,2023-12-15,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,The pregnancy results from sexual intercourse with a minor female or intercourse with a woman who is incapable of resisting.,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Holy See / Vatican City State,2017-05-07,No,No,No,No,No,No,No,No,No,No,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Not Specified
Europe,Eastern Europe,Hungary,2022-11-28,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,The pregnant woman is in a severe crisis situation.,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Iceland,2023-12-15,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Yes,No,No,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Ireland,2023-12-15,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,"Condition affecting the foetus that
is likely to lead to the death of the foetus either before, or within 28 days of, birth",Yes,No,Yes,Not Specified,Not Specified,No,No,No,Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Italy,2022-07-11,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,"Family circumstances

circumstances in which conception occurred",Yes,Yes,Yes,No,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Latvia,2023-12-15,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Medical indications,Yes,No,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Liechtenstein,2018-11-14,No,Yes,Yes,No,No,No,No,No,No,No,The pregnant woman was under the age of 15 at the time she got pregnant and was not married to the person who impregnated her at the time of conception or afterwards.,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Northern Europe,Lithuania,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,"Listed diseases , which also includes the following: Female physiological immaturity (13 years and younger); Late Reproductive Age (49 years and older). Listed congenital and chromosomal anomalies.",Yes,No,Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,No,Yes,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Europe,Western Europe,Luxembourg,2023-12-15,Yes,Yes,Yes,No,No,No,No,No,Yes,No,     ,Yes,No,Yes,Not Specified,Not Specified,Yes,No,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Europe,Southern Europe,Malta,2023-12-15,No,Yes,No,No,No,No,No,No,No,No,To protect “the health of a woman suffering from a medical complication which may put her health in grave jeopardy which may lead to death.”,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
